DATA,stage_root,stage_mean,stage_tip
reaction,0.75,0.75,0.75
phi,1.593436736907959,1.25,1.0622979712066654
psi,0.5,0.5,0.5
rpm,12000.0,12000.0,12000.0
radius,0.05,0.06373774391990981,0.075
span,0.024999999999999994,0.024999999999999994,0.024999999999999994
u,62.83185307179587,80.09521122207047,94.2477796076938
beta1,32.11132685529733,38.659808254090095,43.26973321013741
beta2,17.421187927343887,21.80140948635181,25.205321610133897
betam,25.20546320609742,30.96375653207353,35.22272635929052
alpha1,0.0,0.0,0.0
alpha2,17.421187927343887,21.80140948635181,25.205321610133897
alpham,8.91665143625168,11.309932474020215,13.242949288691351
cx,100.11858293260272,100.1190140275881,100.11922506798605
w1,118.20140612052037,128.21489706958576,137.5009206848975
w2,104.93184020373123,107.83147817327463,110.65496020720965
c1,100.11858293260272,100.1190140275881,100.11922506798605
c2,104.93184020373123,107.83147817327463,110.65496020720965
wt1,62.83185307179586,80.09521122207049,94.2477796076938
wt2,35.38875029650019,47.617817341345244,58.55659992239941
ct1,0.0,0.0,0.0
ct2,31.415926535897935,40.04760561103524,47.1238898038469
